"Deaths Occurring (Number) by Sex, Area of Residence, Age at Death and"
"Year"

" "," "," ","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Both sexes"
" ","Leinster"
" "," ","Under 1 year",110,152,130,138,134,123,129,112,112,..
" "," ","1 - 4 years",26,29,29,23,17,26,26,17,19,..
" "," ","5 - 9 years",4,16,13,14,9,13,19,13,15,..
" "," ","10 - 14 years",26,17,17,17,14,14,8,12,15,..
" "," ","15 - 19 years",70,69,55,41,51,38,28,25,37,..
" "," ","20 - 24 years",75,98,96,95,90,63,69,76,65,..
" "," ","25 - 29 years",94,140,136,107,112,101,88,93,89,..
" "," ","30 - 34 years",94,136,158,146,156,153,149,124,122,..
" "," ","35 - 39 years",111,176,192,166,192,188,148,141,153,..
" "," ","40 - 44 years",153,240,238,231,265,240,225,223,217,..
" "," ","45 - 49 years",228,349,338,325,344,316,300,281,288,..
" "," ","50 - 54 years",302,448,469,440,412,485,483,432,429,..
" "," ","55 - 59 years",449,661,637,576,611,654,649,600,605,..
" "," ","60 - 64 years",617,861,894,855,879,930,867,846,827,..
" "," ","65 - 69 years",715,1042,1078,1119,1154,1161,1136,1168,1082,..
" "," ","70 - 74 years",927,1411,1381,1342,1380,1392,1423,1435,1503,..
" "," ","75 - 79 years",1289,1905,1901,1815,1891,1902,1858,1866,1987,..
" "," ","80 - 84 years",1565,2394,2409,2306,2267,2350,2429,2346,2354,..
" "," ","85 years and over",2551,3799,3986,4123,4253,4538,4665,4760,5166,..
" "," ","All ages",9406,13943,14157,13879,14231,14687,14699,14570,15085,..
" ","Munster"
" "," ","Under 1 year",68,84,77,89,79,71,76,68,47,..
" "," ","1 - 4 years",12,15,17,14,10,8,12,14,12,..
" "," ","5 - 9 years",7,10,4,11,10,10,11,11,9,..
" "," ","10 - 14 years",19,17,10,3,5,10,12,13,8,..
" "," ","15 - 19 years",36,44,36,45,29,27,25,23,24,..
" "," ","20 - 24 years",69,53,58,62,55,63,42,46,47,..
" "," ","25 - 29 years",75,53,73,57,69,51,46,46,55,..
" "," ","30 - 34 years",56,71,80,67,66,61,59,70,66,..
" "," ","35 - 39 years",76,102,116,100,76,74,73,77,56,..
" "," ","40 - 44 years",98,117,118,133,111,109,106,95,104,..
" "," ","45 - 49 years",173,175,199,179,165,174,188,161,142,..
" "," ","50 - 54 years",243,251,248,251,256,255,242,231,266,..
" "," ","55 - 59 years",373,363,351,339,336,316,328,385,363,..
" "," ","60 - 64 years",508,528,515,495,521,502,467,491,432,..
" "," ","65 - 69 years",598,649,618,666,622,678,733,732,725,..
" "," ","70 - 74 years",931,873,882,825,839,808,843,903,854,..
" "," ","75 - 79 years",1268,1156,1174,1104,1144,1105,1154,1129,1131,..
" "," ","80 - 84 years",1541,1427,1464,1418,1380,1467,1462,1482,1462,..
" "," ","85 years and over",2288,2470,2416,2525,2674,2848,3020,2837,3144,..
" "," ","All ages",8439,8458,8456,8383,8447,8637,8899,8814,8947,..
" ","Connacht"
" "," ","Under 1 year",16,32,26,28,36,27,20,28,28,..
" "," ","1 - 4 years",4,6,9,4,2,4,7,5,5,..
" "," ","5 - 9 years",1,..,4,3,4,3,2,5,1,..
" "," ","10 - 14 years",3,6,2,1,2,2,3,2,2,..
" "," ","15 - 19 years",16,11,14,13,17,10,4,9,5,..
" "," ","20 - 24 years",27,20,14,9,16,18,22,19,11,..
" "," ","25 - 29 years",24,21,26,23,20,16,17,18,9,..
" "," ","30 - 34 years",31,24,29,18,29,30,21,24,28,..
" "," ","35 - 39 years",26,42,33,35,26,43,24,29,32,..
" "," ","40 - 44 years",51,48,41,50,46,51,29,42,34,..
" "," ","45 - 49 years",65,77,72,69,68,70,60,62,55,..
" "," ","50 - 54 years",86,101,109,114,102,98,103,102,79,..
" "," ","55 - 59 years",156,134,163,150,162,124,142,142,154,..
" "," ","60 - 64 years",191,219,209,214,224,184,223,212,218,..
" "," ","65 - 69 years",242,304,247,272,257,259,296,294,297,..
" "," ","70 - 74 years",354,368,353,337,305,336,374,341,385,..
" "," ","75 - 79 years",536,528,522,508,490,459,469,482,460,..
" "," ","80 - 84 years",714,712,644,590,615,665,626,639,645,..
" "," ","85 years and over",1183,1275,1240,1288,1337,1382,1434,1354,1400,..
" "," ","All ages",3726,3928,3757,3726,3758,3781,3876,3809,3848,..
" ","Ulster (pt)"
" "," ","Under 1 year",9,16,14,16,13,16,20,16,18,..
" "," ","1 - 4 years",9,2,4,4,2,4,1,4,2,..
" "," ","5 - 9 years",4,2,2,2,2,1,2,2,1,..
" "," ","10 - 14 years",0,..,2,1,1,6,2,0,1,..
" "," ","15 - 19 years",16,7,9,2,10,6,4,2,1,..
" "," ","20 - 24 years",3,15,10,8,12,11,5,7,8,..
" "," ","25 - 29 years",9,18,21,9,12,13,8,11,8,..
" "," ","30 - 34 years",14,16,16,10,15,11,21,11,10,..
" "," ","35 - 39 years",15,15,24,16,18,12,13,15,22,..
" "," ","40 - 44 years",18,27,21,25,24,17,26,23,19,..
" "," ","45 - 49 years",29,37,37,24,34,33,31,25,35,..
" "," ","50 - 54 years",39,45,55,43,50,44,46,58,47,..
" "," ","55 - 59 years",91,79,84,95,73,76,68,68,65,..
" "," ","60 - 64 years",104,108,125,111,141,124,114,86,100,..
" "," ","65 - 69 years",126,142,138,158,149,153,157,169,140,..
" "," ","70 - 74 years",205,169,193,176,188,174,175,206,209,..
" "," ","75 - 79 years",283,264,249,255,252,271,234,254,249,..
" "," ","80 - 84 years",370,355,363,356,340,361,330,327,358,..
" "," ","85 years and over",673,628,643,662,684,748,773,775,779,..
" "," ","All ages",2017,1945,2010,1973,2020,2081,2030,2059,2072,..

"Please note that .. indicates particular level of data is "
"unavailable. "

