"Deaths and Death Rates per 1,000 population by State, statistical"
"indicator and Year"

" "," ","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"State"
" ","Deaths (Number)",32111,31370,31305,30931,32148,30948,32259,31723,31581,31563,32608,31391,30212,29683,29074,28665,28260,28488,28117,28274,28380,27961,28456,29186,29504,29252,29952,30390
" ","Death Rate per 1,000 population (Rate)",9.1,8.9,8.9,8.7,9.0,8.6,9.0,8.7,8.6,8.5,8.7,8.3,7.9,7.6,7.3,7.1,6.8,6.7,6.4,6.3,6.3,6.1,6.2,6.4,6.4,6.4,6.5,6.5
" ","Male Deaths (Number)",17058,16828,16603,16516,17035,16338,17075,16672,16501,16553,16961,16192,15691,15390,14882,14801,14412,14605,14391,14457,14727,14334,14492,14945,14958,14897,15150,15499
" ","Male Deaths per 1,000 population (Rate)",9.8,9.7,9.5,9.3,9.6,9.2,9.5,9.3,9.1,9.0,9.1,8.6,8.2,7.9,7.5,7.4,7.0,6.9,6.6,6.5,6.5,6.3,6.4,6.6,6.6,6.5,..,6.7
" ","Female Deaths (Number)",15053,14542,14702,14415,15113,14610,15184,15051,15080,15010,15647,15199,14521,14293,14192,13864,13848,13883,13726,13817,13653,13627,13964,14241,14546,14355,14802,14891
" ","Female Deaths per 1,000 population (Rate)",8.5,8.2,8.3,8.1,8.4,8.1,8.4,8.2,8.2,8.1,8.3,8.0,7.5,7.3,7.1,6.8,6.7,6.6,6.3,6.2,6.0,5.9,6.1,6.1,6.3,6.2,..,6.3

"1989 to 2012 are based on the number of deaths occurring in the year. "
" 2013 and 2014 data are provisional and are based on the number of "
"deaths registered within the year as opposed to occurring in the year "
" "
"( "
"http://www.cso.ie/en/methods/birthsdeathsandmarriages/deathregistrati-"
"on/) See Background Notes "

